rank,lemma,absolute_frequency,freq_cat
281,přitom,34921,A 
282,světový,34666,A 
283,čekat,34546,A 
284,jednání,34531,A 
285,Jiří,34510,A 
286,zcela,34506,A 
287,zda,34462,A 
288,navíc,34222,A 
289,zápas,34221,A 
290,dojít,34205,A 
291,politika,34086,A 
292,důležitý,34069,A 
293,návrh,34019,A 
294,pozdě,33982,A 
295,miliarda,33764,A 
296,příliš,33760,A 
297,minuta,33698,A 
298,dokázat,33692,A 
299,kniha,33537,A 
300,nejen,33462,A 
301,zahraniční,33401,A 
302,považovat,33326,A 
303,bod,33216,A 
304,smlouva,33183,A 
305,zpráva,33177,A 
306,vrátit,33172,A 
307,spíš,33167,A 
308,jméno,33125,A 
309,žít,32980,A 
310,názor,32968,A 
311,činnost,32782,A 
312,zejména,32686,A 
313,mezinárodní,32634,A 
314,tvrdit,32339,A 
315,osoba,32230,A 
316,hodnota,32212,A 
317,hráč,32009,A 
318,váš,31941,A 
319,nechat,31844,A 
320,pracovat,31820,A 
320,snažit,31820,A 
321,B,31674,A 
322,platit,31492,A 
323,určitý,31470,A 
324,sto,31469,A 
325,tady,31468,A 
326,občan,31367,A 
327,válka,31271,A 
328,deset,31194,A 
329,soutěž,31160,A 
330,mluvit,30972,A 
331,minulý,30961,A 
332,třetí,30556,A 
333,rada,30515,A 
334,soud,30463,A 
335,jednou,30459,A 
336,růst,30454,A 
337,příští,30453,A 
338,obchod,30227,A 
339,opět,30221,A 
340,tým,30010,A 
341,možná,29846,A 
342,kromě,29768,A 
343,více,29726,A 
344,dosud,29639,A 
345,vedení,29637,A 
346,policie,29634,A 
347,podobný,29621,A 
348,rodina,29585,A 
349,fond,29582,A 
350,během,29497,A 
351,existovat,29439,A 
352,letos,29328,A 
353,neboť,29040,A 
354,znovu,28998,A 
355,nakonec,28947,A 
356,znát,28858,A 
357,zřejmě,28834,A 
358,funkce,28797,A 
359,letošní,28747,A 
360,vždy,28605,A 
361,vzít,28604,A 
362,obchodní,28567,A 
363,dílo,28558,A 
364,J,28549,A 
365,ulice,28495,A 
366,prostředek,28466,A 
367,tenhle,28462,A 
368,finanční,28424,A 
369,jednotlivý,28414,A 
370,byt,28369,A 
371,takže,28325,A 
372,zase,28238,A 
373,Václav,28114,A 
374,vývoj,27923,A 
375,ruský,27919,A 
376,lidský,27911,A 
377,výroba,27893,A 
378,přece,27853,A 
379,akce,27837,A 
380,naopak,27789,A 
381,cíl,27665,A 
382,základ,27651,A 
383,obraz,27630,A 
384,jednat,27620,A 
385,dodat,27587,A 
386,organizace,27570,A 
387,podařit,27421,A 
388,akcie,27209,A 
389,století,27173,A 
390,autor,27153,A 
391,trenér,27137,A 
392,špatný,27066,A 
393,druh,27064,A 
394,nízký,27058,A 
395,ekonomický,27023,A 
396,slovenský,26961,A 
397,projekt,26939,A 
398,ODS,26838,A 
399,dosáhnout,26778,A 
400,závod,26642,A 
401,prostředí,26607,A 
402,obec,26605,A 
403,objevit,26482,A 
404,daleko,26459,A 
405,městský,26431,A 
406,výkon,26390,A 
407,potřebovat,26330,A 
408,Petr,26173,A 
409,úroveň,26171,A 
410,jinak,26138,A 
411,skončit,26127,A 
412,prý,26086,A 
413,připravit,25969,A 
414,silný,25955,A 
415,typ,25878,A 
416,zároveň,25866,A 
417,jenom,25843,A 
418,vlastně,25808,A 
419,zdát,25793,A 
420,poslanec,25676,A 
421,polovina,25672,A 
422,jistý,25566,A 
423,společný,25565,A 
424,vůz,25546,A 
425,rozhodnutí,25497,A 
426,skutečnost,25479,A 
427,večer,25396,A 
428,období,25395,A 
429,např,25343,A 
430,dost,25341,A 
431,zatímco,25318,A 
432,Josef,25308,A 
433,dlouho,25228,A 
434,šest,25186,A 
435,rovněž,25178,A 
436,přímo,25173,A 
437,tehdy,25168,A 
438,hranice,25166,A 
439,pravda,25155,A 
440,noc,25150,A 
441,řešení,25093,A 
442,zařízení,25025,A 
443,bílý,25019,A 
444,pracovní,24945,A 
445,Německo,24939,A 
446,smrt,24929,A 
447,hlas,24922,A 
448,prostor,24909,A 
449,nutný,24765,A 
450,začátek,24675,A 
451,dávat,24486,A 
452,hned,24462,A 
453,trochu,24453,A 
454,pokračovat,24382,A 
455,dohoda,24363,A 
456,číslo,24343,A 
457,pohled,24317,A 
458,životní,24278,A 
459,role,24275,A 
460,stačit,24183,A 
461,zástupce,24164,A 
462,celkový,24126,A 
463,prohlásit,24081,A 
464,kvůli,23964,A 
465,začínat,23957,A 
466,někdy,23920,A 
467,rychle,23872,A 
468,veřejný,23831,A 
469,plný,23827,A 
470,samozřejmě,23765,A 
471,psát,23725,A 
472,potom,23595,A 
473,pomoc,23535,A 
474,černý,23520,A 
475,loňský,23453,A 
476,parlament,23357,A 
477,spolu,23308,A 
478,zdroj,23300,A 
479,forma,23205,A 
480,komise,23143,A 
481,č,23129,A 
482,střední,23127,A 
483,rozdíl,23120,A 
484,pár,23099,A 
485,představovat,23098,A 
486,změnit,22906,A 
487,věřit,22844,A 
488,liga,22787,A 
489,krok,22697,A 
490,náklad,22646,A 
491,lékař,22644,A 
492,podpora,22631,A 
493,centrum,22592,A 
494,osobní,22356,A 
495,divák,22334,A 
496,premiér,22319,A 
497,přesto,22301,A 
498,hledat,22284,A 
499,významný,22269,A 
500,vloni,22268,A 
501,otevřít,22208,A 
502,pomoci,22116,A 
503,mimo,22075,A 
504,poté,22043,A 
505,majetek,22026,A 
506,těžký,21997,A 
507,postup,21957,A 
508,cítit,21939,A 
509,pracovník,21895,A 
510,Pavel,21841,A 
511,zahraničí,21790,A 
512,hlavně,21773,A 
513,M,21755,A 
514,ukázat,21720,A 
515,nabízet,21707,A 
516,smysl,21688,A 
517,dveře,21685,A 
518,směr,21602,A 
519,vytvořit,21592,A 
520,sobota,21570,A 
521,schopný,21515,A 
522,potřeba,21507,A 
523,prodej,21480,A 
524,tělo,21473,A 
525,auto,21458,A 
526,umění,21343,A 
527,přijmout,21335,A 
528,vedoucí,21313,A 
529,utkání,21293,A 
530,obyvatel,21285,A 
531,jestli,21283,A 
532,tvář,21258,A 
533,spolupráce,21231,A 
534,dolar,21197,A 
535,trvat,21192,A 
536,místní,21144,A 
537,výše,21122,A 
538,list,21098,A 
539,boj,21086,A 
540,kultura,21066,A 
541,m,21043,A 
542,vzniknout,21027,A 
543,působit,20894,A 
544,teprve,20837,A 
545,vydat,20817,A 
546,materiál,20785,A 
547,mnohý,20758,A 
548,ať,20756,A 
549,včetně,20736,A 
550,hospodářský,20732,A 
551,řízení,20730,A 
552,míra,20710,A 
553,počítat,20669,A 
554,armáda,20659,A 
555,díky,20648,A 
556,pocit,20579,A 
557,půl,20572,A 
558,zvláštní,20564,A 
559,vedle,20534,A 
560,vojenský,20469,A 
561,Plzeň,20425,A 
562,stavba,20405,A 
563,blízký,20396,A 
564,šéf,20374,A 
565,Karel,20240,A 
566,nemocnice,20176,A 
567,vypadat,20162,A 
568,Slovensko,20158,A 
569,Rusko,20140,A 
570,provoz,20113,A 
571,léto,20091,A 
572,jasný,20077,A 
573,neděle,20051,A 
574,používat,20036,A 
575,zaměstnanec,20009,A 
576,francouzský,19988,A 
577,otec,19935,A 
578,skutečně,19926,A 
